,subject_code,subject_name,text,answer1,answer2,answer3,answer4,correct_1_to_4
81,DSA1,Python for Data Science,Какая из этих команд в Pandas отфильтрует совершеннолетних людей из DataFrame df?,df[df['Age'] >= 18],df.filter(age >= 18),df = df[age >= 18],df.iloc[df['age'] >= 18],1
82,DSA1,Python for Data Science,В чём отличие MatPlotLib и Seaborn,"MatPlotLib - библиотека для визулазации, а Seaborn - для регрессии и машинного обучения","Seaborn - библиотека для визулазации, а MatPlotLib - для регрессии и машинного обучения",Seaborn - высокоуровневая обёртка над MatPlotLib,MatPlotLib - высокоуровневая обёртка над Seaborn,3
83,DSA1,Python for Data Science,Зачем нужна функция subplot в MatPlotLib?,Что считать производную дискретной функции,Чтобы рисовать один график под другим,Чтобы рисовать один график над другим,Что рисовать сразу несколько отдельных графиков,4
84,DSA1,Python for Data Science,"Что задаёт функция hue в Seaborn? Например: sns.scatterplot('area', 'price', data=df, hue='bedrooms')?",Значение колонки bedrooms будет задавать прозрачность фона в зависимости от размерности df,Значение колонки bedrooms будет задавать цвет осей,Bedrooms - название color scheme для раскраски объектов,"Значение колонки bedrooms будет задавать цвет объектов/точек (например 1 спальня - белая точка, 2 - красная, 3 - синия и т.п)",4
85,DSA1,Python for Data Science,В чём особенности назначения Seaborn и Bokeh?,"Bokeh имеет встроенные инструменты для стат. анализа, а Seaborn удобен для создания интерактивных графиков (JavaScrip)","Seaborn имеет встроенные инструменты для стат. анализа, а Bokeh удобен для создания интерактивных графиков (JavaScrip)","Seaborn - инструмент для обучения регрессионных моделей и других моделей Machine Learning, а Bokeh - инструмент визуализации","Bokeh - сверхбыстрая библиотека для матричных вычислений, а Seaborn - GIS-библиотека для обработки пространственных данных",2
86,DSA1,Python for Data Science,Как может наличие аномалий повлиять на визуализацию данных?,"Масштаб будет очень мелким из-за аномально больших значений, данные будет плохо видно",Наличие аномалий будет положительно влиять на качество визуализации,"При наличии аномалий рекомендуется строить 3D графики, чтобы улучшить качество визуализации",Никак,1
87,DSA1,Python for Data Science,Как работает PCA?,Обучает модель для предсказания значений,"Увеличивает размерность, подбирая N-мерную структуру, описывающую наши M-мерные данные (M < N)","Уменьшает размерность, убирая ненужные измерения/столбцы","Уменьшает размерность, подбирая N-мерную структуру, описывающую наши M-мерные данные (N < M)",4
88,DSA1,Python for Data Science,Как работает Recursive Feature Elimination?,Обучает модель для предсказания значений,"Увеличивает размерность, подбирая N-мерную структуру, описывающую наши M-мерные данные (M < N)","Уменьшает размерность, убирая ненужные измерения/столбцы","Уменьшает размерность, подбирая N-мерную структуру, описывающую наши M-мерные данные (N < M)",3
89,DSA1,Python for Data Science,Зачем нужно уменьшать размерность данных?,Чтобы избавиться от аномалий,Чтобы создать аномалии,Чтобы ускорить и упростить обучение моделей машинного обучения,Чтобы замедлить и усложнить обучение моделей машинного обучения,3
90,DSA1,Python for Data Science,Зачем проводить нормализацию значений?,Чтобы привести все данные к одному интервалу значений,Чтобы привести все данные к разным интервалам значений,Чтобы избежать переобучения,Чтобы ускорить обучение,1
91,DSA1,Python for Data Science,"Что делает функция fit в следующем примере:
from sklearn.preprocessing import MinMaxScaler
s = MinMaxScaler()
...
s = s.fit(X)
?",Проводит нормализацию данных,Уменьшает размерность X,Находит минимум и максимум в каждом столбце X для дальнейшей нормализации,Обучает модель машинного обучения для классификации,3
92,DSA1,Python for Data Science,Какую из этих задач можно решать с помощью алгоритмов поиска аномалий?,Регрессия,LU-разложение матриц,Fraud Detection (распознавание мошеннических операций),Кластеризация (unsupervised learning),3
93,DSA1,Python for Data Science,Какую меру ошибки берут в качестве cost function (функция ошибки) для регрессии?,Абсолютная ошибка (модуль),Среднеквадратичная ошибка,Евклидово расстояние до соседней (ближайшей) точки,Качество регрессии невозможно оценить численно,2
94,DSA1,Python for Data Science,Чем R^2 мера (determination coefficient) отличается от среднеквадратичной ошибки?,"R^2 более точно показывает качество модели, поскольку учитывает дисперсию целевой переменной","R^2 менее точно показывает качество модели, поскольку учитывает дисперсию целевой переменной","R^2 можно использовать только для задач классификации, их нельзя сравнивать",Это одно и то же,1
95,DSA1,Python for Data Science,Какую задачу решает линейная регрессия?,Поиск аномалий,Нормализация значений,Предсказание значения определённого свойства,Классификации объектов,3
96,DSA1,Python for Data Science,Зачем нужна полиномиальная регрессия (функция PolynomialFeatures в sklearn)?,Чтобы ускорить обучение модели,Чтобы избежать переобучения,Чтобы используя фичи более высокого порядка построить более сложную модель,Чтобы используя фичи более высокого порядка построить менее сложную модель,3
97,DSA1,Python for Data Science,Что из этого является признаком переобучения (overfitting)?,"Высокое качество предсказания на training множестве, низкое на testing множестве","Низкое качество предсказания  на training множестве, высокое на testing множестве",Высокое качество на всех данных,Появление полиномиальных фичей,1
98,DSA1,Python for Data Science,Выберите один из способов борьбы с переобучением линейной регресии,Полиномиальные фичи,Регуляризация,Кластеризация,Оптимизация среднеквадратичной ошибки,2
99,DSA1,Python for Data Science,Как регуляризация влияет на модель?,Данные приводятся к одному интервалу значений,Данные автоматически очищаются от аномалий и шума,Модель становится проще (сумма модулей коэффициентов меньше),Модель становится сложнее (сумма модулей коэффициентов больше),3
100,DSA1,Python for Data Science,Как можно интерпретировать результаты линейной регрессии (понять какие параметры объекта повлияли на результат модели)?,Нужно взять частные производные от каждого веса,Коэффициенты (веса) показывают вклад (положительный или отрицательный) каждого параметра на результат,"Никак, можно только визуализировать","Никак, линейная регрессия слишком сложная модель",2
101,DSA1,Python for Data Science,"Почему линейная регрессия - это скорее статистический анализ, чем машинное обучение?","Потому что все веса считаются сразу по формуле, без процесса обучения",Потому что в линейной регрессии невозможна регуляризация,Потому что статистически линейная регрессия эквивалентна анизотропному преобразованию локальности пространства,Потому что регрессии невозможно научиться,1
102,DSA1,Python for Data Science,Зачем производится разделение данных на training и testing множества?,Чтобы исключить аномалии в данных и нормализовать их,"Чтобы обучить модель на одних данных, а проверить качество на тех данных, которые модель при обучении не видела",Чтобы увеличить шанс переобучения,Чтобы увеличить шанс недообучения,2
103,PY_HARD,Python Hard,"Каким будет результат следующего программного кода:
def factorial(n):
    rez = 1
    for i in range(1, n + 1):
        rez *= i
    return rez

print(factorial(3) + factorial(5))",6,120,ошибка в программе,126,4
104,PY_EASY,Python Easy,"Каким будет результат следующего программного кода:
def max(a, b):
    if a > b:
        return a
    else:
        return b

print(max(3, 5) * max(5, 3))",25,15,9,3,1
105,PY_EASY,Python Easy,"Каким будет результат следующего программного кода:
def f():
    a = 2
    print(a)

a = 1
f()",0,1,2,3,3
106,PROB,Probability and Statistics,Предметом математической статистики является изучение …,Случайных величин по результатам наблюдений,Случайных явлений,Совокупностей,Числовых характеристик,1
107,PROB,Probability and Statistics,"Совокупность объектов, из которых производится выборка, называется…",Вероятной,Выборочной,Генеральной,Средней,3
108,PROB,Probability and Statistics,Выберите номер неправильного ответа. Генеральные совокупности могут быть…,Конечными,Бесконечными,Интервальными,Счётными,3
109,PROB,Probability and Statistics,Часть отобранных объектов из генеральной совокупности называется…,Генеральной выборкой,Выборочной совокупностью,Репрезентативной совокупностью,Вариантами,2
110,PROB,Probability and Statistics,"Для того чтобы по выборке можно было судить о случайной величине, выборка должна быть…",Бесповторной,Повторной,Репрезентативной,Безвозвратной,3
111,PROB,Probability and Statistics,Различные значения признака (случайной величины Χ) называются…,Частотами,Выборкой,Вариантами,Частостями,3
112,PROB,Probability and Statistics,"Числа, показывающие, сколько раз встречаются варианты из данного интервала, называются….",Частостями,Выборкой,Вариантами,Частотами,4
113,PROB,Probability and Statistics,Отношение частоты данного вари- анта к общей сумме частот всех ва- риантов называется ….,Частостью,Группой,Вариантами,Частотой,1
114,PROB,Probability and Statistics,"3, 3, 1, 2, 5, 4, 2, 2, 4, 0, 2, 3, 2, 0, 2 – выборка. Частость варианты 3 составляет…",3,1/5,1/3,5,2
115,PROB,Probability and Statistics,Полигон служит для изображения…,Дискретного ряда,Гистограммы,Интервального ряда,Выборочной функции,1
116,PROB,Probability and Statistics,"Эмпирической функцией распределения $F^*(x)$ называется относительная частота того, что признак (случайная величина $X$) примет значение ...",меньше заданного $x$,больше заданного $x$,равное заданному $x$,не известно,1
117,PROB,Probability and Statistics,"Статистическая оценка, математическое ожидание которой равно оцениваемому параметру при любом объеме выборки, называется …",Несмещенной,Состоятельной,Эффективной,Прямой,1
118,PROB,Probability and Statistics,"Статистическая оценка, которая (при заданном объеме выборки) имеет наименьшую возможную дисперсию, называется ...",Состоятельной,Эффективной,Прямой,Обратной,2
119,PROB,Probability and Statistics,Что является оценкой математического ожидания?,Выборочная средняя,Выборочная дисперсия,Исправленная дисперсия,Относительная частота,1
120,PROB,Probability and Statistics,"Проведено 5 измерений (без систематических ошибок) некоторой случай- ной величины: 5, 7, 8, 9, 10. Тогда несмещенная оценка математического ожидания равна…",7,7.2,7.5,7.8,4
121,PROB,Probability and Statistics,"Вариант, которому соответствует наибольшая частота вариационного ряда, называется…",медианой,модой,дисперсией,вариантом,2
122,PROB,Probability and Statistics,Что является несмещённой оценкой генеральной дисперсии?,Выборочная средняя,Выборочная дисперсия,Исправленная дисперсия,Относительная частота,3
123,PROB,Probability and Statistics,Мода вариационного ряда 21; 21; 23; 23; 23; 23; 24; 25; 27; 29; 29; 30 равна...,27,21,29,23,4
124,PROB,Probability and Statistics,Медиана вариационного ряда 22; 23; 24; 25; 26; 28; 28; 28; 31; 32 равна ...,22,24,27,28,3
125,LOGIC,Basic logic questions,На доске написано 100 различных целых чисел. Количество пар различных чисел с нечетной суммой равно количеству пар различных чисел с нечетным произведением. Сколько нечетных чисел написано на доске?,50,66,67,100,3
126,LOGIC,Basic logic questions,Во сколько раз минутная стрелка на часах вращается быстрее часовой?,6,12,24,60,2
127,LOGIC,Basic logic questions,"На что нужно умножить треть от четверти числа, чтобы получить утроенную половину того же числа?",2,6,18,36,3
128,ALGEBRA,Algebra,"Для матрицы $A$ существует обратная, если ее определитель ...",$\leq 0$,$\neq 0$,$= 0$,$\geq 0$,2
129,ALGEBRA,Algebra,Единичной матрицей называется ...,"квадратная матрица, у которой все элементы главной диагонали равны единице, а остальные - нулю","квадратная матрица, определитель которой равен единице","матрица, все элементы которой равны единице","квадратная матрица, у которой все элементы второстепенной диагонали равны единице, а остальные - нулю",1
